0924 21:04	오류
0923 19:04	Bok일반
0923 18:06	Bok일반
0923 18:03	Bok일반
0923 17:06	Bok일반
0923 17:04	Bok일반
0923 16:06	Bok일반
0923 16:03	Bok일반
0923 15:06	Bok일반
0923 15:04	Bok일반
0923 14:06	Bok일반
0923 14:03	Bok일반
0923 13:06	Bok일반
0923 13:03	Bok일반
0923 09:08	Bok광장
0923 09:04	Bok일반
0923 08:08	Bok일반
0923 08:05	Bok광장
0923 07:33	Dungeon_week B 구역
0923 07:31	Dungeon_week B 구역
0923 07:06	Bok일반
0923 07:03	Bok일반
0923 06:07	Bok일반
0923 06:04	Bok일반
0923 05:25	Dungeon_week 기지 5충 C구역
0923 05:23	Dungeon_week 기지 5충 C구역
0923 05:07	Bok일반
0923 05:04	Bok일반
0923 04:07	Bok일반
0923 04:04	Bok일반
0923 03:06	Bok일반
0923 03:04	Bok일반

