1122 05:23	Dungeon 기지 58 B구역
1120 21:05	Bok광장
1120 20:07	Bok광장
1120 14:04	Bok광장
1120 13:07	Bok광장
1120 10:05	Bok광장
1120 09:07	Bok광장
1120 08:05	Bok광장
1120 07:07	Bok광장
1118 07:34	Dungeon_week E 구역
1118 07:32	Dungeon_week E 구역
1118 07:07	Bok광장
1118 06:04	Bok광장
1118 05:28	Dungeon 절규의 나라
1118 05:24	Dungeon 기지 5층 C구역
1118 04:07	Bok광장
1118 03:05	Bok광장
1118 02:07	Bok광장
1116 16:05	Bok광장
1116 08:07	Bok광장
1116 07:05	Bok광장
1116 06:07	Bok광장
1116 05:26	Dungeon 절규의 나라
1116 05:23	Dungeon 절규의 나라
1115 11:05	Bok광장
1114 05:28	Dungeon 기지 5층 D구역
1114 05:23	Dungeon 기지 5층 D구역
1114 04:06	Bok광장
1111 07:32	Dungeon_week No
1111 05:26	Dungeon 악달자 초소
1111 05:23	Dungeon 악달자 초소
1111 04:05	Bok광장
1111 03:07	Bok광장
1111 02:05	Bok광장
1110 21:05	Bok광장
1109 13:08	Bok광장
1109 08:07	Bok광장
1109 07:05	Bok광장
1109 06:07	Bok광장
1109 05:26	Dungeon 적막한 향야
1108 05:27	Dungeon 기지 5층 D구역
1108 05:23	Dungeon 기지 5층 C구역
1108 03:06	Bok광장
1107 19:07	Bok광장
1107 18:05	Bok광장
1107 15:07	Bok광장
1107 14:05	Bok광장
1107 13:07	Bok광장
1107 12:04	Bok광장
1107 10:05	Bok광장
1107 09:07	Bok광장
1107 05:28	Dungeon 기지 5층 B구역
1107 05:24	Dungeon 기지 5층 A구역
1106 10:04	Bok광장
1106 08:10	Bok광장
1106 08:05	Bok광장
1106 07:07	Bok광장
1106 06:05	Bok광장
1106 05:26	Dungeon 기지 5층 A구역
1106 05:23	Dungeon 기지 5층 A구역
1105 05:27	Dungeon 기지 5층 B구역
1105 05:23	Dungeon 군단 강하 지점
1105 00:05	Bok광장
1104 07:34	Dungeon_week B 구역
1104 07:32	Dungeon_week B 구역
1104 07:07	Bok광장
1104 06:05	Bok광장
1104 05:26	Dungeon 기지 5층 A구역
1104 05:23	Dungeon 기지 5층 A구역
1103 12:05	Bok광장
1103 11:07	Bok광장
1103 07:33	Dungeon_week B 구역
1103 07:32	Dungeon_week B 구역
1103 05:26	Dungeon 비권 노예 초소
1103 03:08	Bok광장
1102 12:05	Bok광장
1102 05:26	Dungeon 기지 5층 A구역
1031 18:05	Bok광장
1031 17:07	Bok광장
1031 15:07	Bok광장
1031 14:05	Bok광장
1031 13:07	Bok광장
1031 12:05	Bok광장
1031 11:09	Bok광장
1031 11:05	Bok광장
1031 09:09	Bok광장
1031 09:05	Bok광장
1031 08:04	Bok광장
1031 07:09	Bok광장
1031 07:05	Bok광장
1031 06:09	Bok광장
1031 06:05	Bok광장
1031 05:25	Bok광장
1031 05:22	Bok광장
1031 04:07	Bok광장
1031 03:05	Bok광장
1031 02:07	Bok광장
1031 01:05	Bok광장
1030 09:55	Dungeon 센튜리온 대공요사
1030 08:05	Bok광장
1030 07:05	Bok광장
1030 06:05	Bok광장
1030 05:26	Dungeon 절규의 나락
1030 05:23	Dungeon 절규의 나락
1029 05:27	Dungeon 기지 5층 D구역
1029 05:23	Dungeon 기지 5층 A구역
1029 03:05	Bok광장
1027 10:07	Bok광장
1027 09:09	Bok광장
1027 09:05	Bok광장
1027 08:09	Bok광장
1027 08:04	Bok광장
1027 07:33	Dungeon_week 인내의 전장
1027 07:31	Dungeon_week 인내의 전장
1027 00:05	Bok광장
1012 04:08	Bok일반
1012 04:05	Bok광장
1012 03:07	Bok일반
1012 03:04	Bok일반
