1122 05:23	Dungeon 노데 초소
1121 20:08	Bok광장
1119 05:26	Dungeon 군단 강하 지점
1119 05:24	Dungeon 군단 강하 지점
1118 07:33	Dungeon_week No
1116 05:27	Dungeon 센튜리온 주문 막사
1116 05:23	Dungeon 센튜리온 크루심
1115 11:04	Bok광장
1115 05:26	Dungeon 나V84
1115 05:23	Dungeon 나V84
1114 22:05	Bok광장
1114 21:07	Bok광장
1114 05:26	Dungeon 기지 5총 D구역
1114 05:23	Dungeon 기지 5총 D구역
1113 05:25	Dungeon 기지 5총 B구역
1112 05:27	Dungeon 기지 5움 B구역
1112 05:23	Dungeon 5층 D구역
1111 21:09	Bok광장
1111 21:05	Bok광장
1111 20:09	Bok광장
1111 20:04	Bok광장
1111 13:05	Bok광장
1111 12:07	Bok광장
1111 11:05	Bok광장
1111 09:04	Bok광장
1111 08:07	Bok광장
1111 07:33	Dungeon_week No
1111 07:31	Bok광장
1111 06:07	Bok광장
1111 05:26	Dungeon 예비 u옥장
1111 05:23	Dungeon 예비 u옥장
1109 13:05	Bok광장
1109 11:05	Bok광장
1108 05:27	Dungeon 기지 5중 B구역
1108 05:23	Dungeon 기지 5증 B구역
1107 05:27	Dungeon 센튜리온 크루십
1107 05:24	Dungeon 전사의 현곡 입구
1106 08:04	Bok광장
1106 06:07	Bok광장
1104 05:27	Dungeon 욕망의 시험
1104 05:23	Dungeon 절망의 시험
1103 09:05	Bok광장
1103 07:33	Dungeon_week 옛 게이트 구역
1103 07:32	Dungeon_week 옛 게이트 구역
1103 05:27	Dungeon 적막한 항야
1103 05:23	Dungeon 옛 게이트 구역
1102 12:22	Dungeon 기지 5층 D구역
1102 12:18	Dungeon 기지 5층 B구역
1028 10:14	Dungeon 기지 5승 D구역
1027 05:25	Dungeon 적막한 항야
1012 13:41	Dungeon_week 기지 5층 A구역
1012 13:38	Dungeon_week 기지 5층 A구역
1012 12:30	Bok일반
1011 16:06	Bok일반
1011 16:03	Bok일반
1011 15:07	Bok일반
1011 15:04	Bok일반
1011 14:07	Bok일반
1011 14:04	Bok일반
1011 13:07	Bok일반
1011 13:04	Bok일반
1011 12:07	Bok일반
1011 12:04	Bok일반
1011 11:06	Bok일반
1011 11:04	Bok일반
1011 09:06	Bok일반
1011 09:03	Bok일반
1011 08:07	Bok일반
1011 08:04	Bok일반
1011 05:27	Dungeon_week 센튜리온 보급 막시
1011 05:23	Dungeon_week 기지 5증 B구역
1011 03:07	Bok일반
1011 03:04	Bok일반
1011 02:07	Bok일반
1011 02:04	Bok일반
1011 01:07	Bok일반
1011 01:04	Bok일반
1011 00:07	Bok일반
1011 00:04	Bok일반
1010 23:06	Bok일반
1010 23:03	Bok일반
1010 22:07	Bok일반
1010 22:04	Bok일반
1010 21:07	Bok일반
1010 21:04	Bok일반
1010 20:06	Bok일반
1010 20:03	Bok일반
1010 19:06	Bok일반
1010 19:03	Bok일반
1010 18:07	Bok일반
1010 18:04	Bok일반
1010 17:07	Bok일반
1010 17:04	Bok일반
1010 16:06	Bok일반
1010 16:03	Bok일반
1010 15:07	Bok일반
1010 15:04	Bok일반
1010 14:06	Bok일반
1010 14:03	Bok일반
1010 13:06	Bok일반
1010 13:04	Bok일반
1010 12:07	Bok일반
1010 12:04	Bok일반
1010 11:06	Bok일반
1010 11:03	Bok일반
1010 09:06	Bok일반
1010 09:03	Bok일반
1010 08:06	Bok일반
1010 08:03	Bok일반
1010 06:07	Bok일반
1010 06:04	Bok일반
1010 05:27	Dungeon_week 무너진 보급 본부
1010 05:24	Dungeon_week 메데이안 지원
1010 02:07	Bok일반
1010 02:04	Bok일반
1010 01:06	Bok일반
1010 01:03	Bok일반
1010 00:07	Bok일반
1010 00:04	Bok일반
1009 23:07	Bok일반
1009 23:04	Bok일반
1009 22:06	Bok일반
1009 22:03	Bok일반
1009 21:07	Bok일반
1009 21:04	Bok일반
1009 20:06	Bok일반
1009 20:03	Bok일반
1009 19:06	Bok일반
1009 19:03	Bok일반
1009 18:06	Bok일반
1009 18:03	Bok일반
1009 17:08	Bok일반
1009 17:05	Bok광장
1009 11:07	Bok일반
1009 11:04	Bok광장
1009 09:07	Bok광장
1009 09:03	Bok일반
1009 08:08	Bok일반
1009 08:05	Bok광장
1009 06:08	Bok광장
1009 06:03	Bok일반
1009 05:27	Dungeon_week 봉괴원 사렇부
1009 05:23	Dungeon_week 메데이안 지원
1009 03:06	Bok일반
1009 03:03	Bok일반
1009 02:06	Bok일반
1009 02:03	Bok일반
1009 01:06	Bok일반
1009 01:03	Bok일반
1009 00:07	Bok일반
1009 00:04	Bok일반
1008 22:07	Bok일반
1008 22:04	Bok일반
1008 21:07	Bok일반
1008 21:04	Bok일반
1008 20:06	Bok일반
1008 20:03	Bok일반
1008 19:06	Bok일반
1008 19:03	Bok일반
1008 18:06	Bok일반
1008 18:03	Bok일반
1008 17:07	Bok일반
1008 17:03	Bok일반
1008 16:07	Bok일반
1008 16:04	Bok일반
1008 15:34	Dungeon_week 옛 게이트 구역
1008 09:06	Bok일반
1008 09:03	Bok일반
1008 08:07	Bok일반
1008 08:04	Bok일반
1008 06:06	Bok일반
1008 06:03	Bok일반
1008 05:27	Dungeon_week 약달자 초소
1008 05:24	Dungeon_week 센튜리온 기술 지운
1008 03:07	Bok일반
1008 03:04	Bok일반
1008 02:06	Bok일반
1008 02:03	Bok일반
1008 01:06	Bok일반
1008 01:03	Bok일반
1008 00:06	Bok일반
1008 00:03	Bok일반
1007 23:07	Bok일반
1007 23:04	Bok일반
1007 22:07	Bok일반
1007 22:04	Bok일반
1007 21:06	Bok일반
1007 21:03	Bok일반
1007 11:06	Bok일반
1007 11:03	Bok일반
1007 09:07	Bok일반
1007 09:04	Bok일반
1007 08:07	Bok일반
1007 08:04	Bok일반
1007 07:33	Dungeon_week No
1007 07:31	Dungeon_week No
1007 06:07	Bok일반
